mode,rouge-1,rouge-L,highlight-p,highlight-r,highlight-f1
A_ONLY_BART_predictions1,0.3040349061396995,0.12325084895839174,0.12360593405868645,0.10215886491154913,0.10403764131843841
A_ONLY_LED_predictions,0.006449012494961708,0.0048367593712212815,0.15151515151515152,0.009060309015976225,0.0170624513074869
A_TAG_BART_LARGE_predictions,0.41930797442199613,0.1825153305363783,0.089912201159735,0.16980609021074838,0.09911879267556495
A_TAG_BART_predictions1,0.40038386744619475,0.18355250217622648,0.08685832118737423,0.148571430636457,0.09394951118303527
A_TAG_LED_predictions,0.08216059047936376,0.060915975723741904,0.23696857068335941,0.018107383963340478,0.03253040614989909
B_TEXT_BART_LARGE_predictions,0.3855757484265565,0.16728539959772734,0.0809576502617637,0.13865207423175668,0.08970320967287314
B_TEXT_BART_predictions1,0.37182048767328746,0.16718457625647304,0.08352428585627408,0.137064202178137,0.09182169752107658
B_TEXT_LED_predictions,0.17855077224076468,0.11382550005243433,0.2006372246947392,0.03540689405489091,0.043920966403323304
