rouge-1,rouge-L,highlight-p,highlight-r,highlight-f1,doc_id,mode
0.5088,0.2768,0.05791190864600326,0.31981981981981983,0.09806629834254144,doc_82805800,A_ONLY_BART_predictions1
0.1248,0.0656,0.2911392405063291,0.1036036036036036,0.15282392026578073,doc_82805800,A_ONLY_LED_predictions
0.632,0.4224,0.042974079126875855,0.28378378378378377,0.07464454976303318,doc_82805800,A_TAG_BART_LARGE_predictions
0.6,0.3408,0.035789473684210524,0.3063063063063063,0.06409048067860508,doc_82805800,A_TAG_BART_predictions1
0.2912,0.144,0.057291666666666664,0.04954954954954955,0.05314009661835749,doc_82805800,A_TAG_LED_predictions
0.6496,0.3424,0.03358656537385046,0.3783783783783784,0.06169665809768638,doc_82805800,B_TEXT_BART_LARGE_predictions
0.6368,0.336,0.041075794621026895,0.3783783783783784,0.0741067490074989,doc_82805800,B_TEXT_BART_predictions1
0.3776,0.1584,0.11538461538461539,0.17567567567567569,0.1392857142857143,doc_82805800,B_TEXT_LED_predictions
